tag,country,province,lat,lng
898,Germany,Saxony,51.05,13.75
900,US,South Carolina,32.8151,-79.96300000000001
902,Indonesia,Sulawesi Tengah,-0.907,119.833
905,Turkey,Samsun,41.28,36.3437
906,Egypt,Al Uqşur,25.7,32.65
908,Indonesia,Kalimantan Barat,-0.03,109.32
909,Russia,Yaroslavskaya Oblast’,57.62,39.87
910,Algeria,Constantine,36.36,6.5999
911,Indonesia,Kalimantan Selatan,-3.33,114.5801
913,Iraq,Kirkūk,35.4722,44.3923
915,Venezuela,Anzoátegui,10.1304,-64.72
917,Egypt,Sūhāj,26.5504,31.7
918,Egypt,Ad Daqahlīyah,31.0504,31.38
